subjects_year,Freq,year,prop
Associations,2,2010,4.020100502512563e-4
"Audiard, Jacques",2,2010,4.020100502512563e-4
Audits,2,2010,4.020100502512563e-4
Banks,2,2010,4.020100502512563e-4
Beaches,2,2010,4.020100502512563e-4
"Beck, Charles L (Charlie)",2,2010,4.020100502512563e-4
"Beck, Glenn",2,2010,4.020100502512563e-4
Bees,2,2010,4.020100502512563e-4
"Blair, Tony",2,2010,4.020100502512563e-4
Bombings,2,2010,4.020100502512563e-4
Bronx New York,2,2010,4.020100502512563e-4
Business improvement districts,2,2010,4.020100502512563e-4
"Cameron, David",2,2010,4.020100502512563e-4
Camps,2,2010,4.020100502512563e-4
Capitalism,2,2010,4.020100502512563e-4
Cartels,2,2010,4.020100502512563e-4
Cartoonists,2,2010,4.020100502512563e-4
Casualties,2,2010,4.020100502512563e-4
Catholic churches,2,2010,4.020100502512563e-4
Chevrolet Volt,2,2010,4.020100502512563e-4
Child abuse & neglect,2,2010,4.020100502512563e-4
Chile,2,2010,4.020100502512563e-4
Christmas Island,2,2010,4.020100502512563e-4
City managers,2,2010,4.020100502512563e-4
Civil rights movement,2,2010,4.020100502512563e-4
Clothing industry,2,2010,4.020100502512563e-4
College campuses,2,2010,4.020100502512563e-4
Colombia,2,2010,4.020100502512563e-4
Colorado,2,2010,4.020100502512563e-4
Community development,2,2010,4.020100502512563e-4
Commuting,2,2010,4.020100502512563e-4
Compton California,2,2010,4.020100502512563e-4
Computer science,2,2010,4.020100502512563e-4
Concentration camps,2,2010,4.020100502512563e-4
Congressional investigations,2,2010,4.020100502512563e-4
Constitutional law,2,2010,4.020100502512563e-4
Construction,2,2010,4.020100502512563e-4
Construction industry,2,2010,4.020100502512563e-4
Corruption in government -- Bell California,2,2010,4.020100502512563e-4
Court decisions,2,2010,4.020100502512563e-4
Culture,2,2010,4.020100502512563e-4
Data mining,2,2010,4.020100502512563e-4
Debt service,2,2010,4.020100502512563e-4
Democracy,2,2010,4.020100502512563e-4
Demonstrations & protests -- Los Angeles California,2,2010,4.020100502512563e-4
Denmark,2,2010,4.020100502512563e-4
Development banks,2,2010,4.020100502512563e-4
Disaster relief,2,2010,4.020100502512563e-4
Discrimination,2,2010,4.020100502512563e-4
East Haven Connecticut,2,2010,4.020100502512563e-4
Economic crisis,2,2010,4.020100502512563e-4
Editorials -- Census of Population,2,2010,4.020100502512563e-4
Education,2,2010,4.020100502512563e-4
Elections -- California,2,2010,4.020100502512563e-4
Employers,2,2010,4.020100502512563e-4
Employment,2,2010,4.020100502512563e-4
England,2,2010,4.020100502512563e-4
Enrollments,2,2010,4.020100502512563e-4
Environmental management,2,2010,4.020100502512563e-4
"Erdogan, Recep Tayyip",2,2010,4.020100502512563e-4
Evictions,2,2010,4.020100502512563e-4
Exports,2,2010,4.020100502512563e-4
External debt,2,2010,4.020100502512563e-4
Extracurricular activities,2,2010,4.020100502512563e-4
Fairs & exhibitions,2,2010,4.020100502512563e-4
Farmworkers,2,2010,4.020100502512563e-4
Federal funding,2,2010,4.020100502512563e-4
"Fiorina, Carleton S",2,2010,4.020100502512563e-4
Fires,2,2010,4.020100502512563e-4
Flushing-Queens NY,2,2010,4.020100502512563e-4
Foreclosure,2,2010,4.020100502512563e-4
Foreign policy,2,2010,4.020100502512563e-4
Francophones,2,2010,4.020100502512563e-4
Free enterprise,2,2010,4.020100502512563e-4
Freedom of speech,2,2010,4.020100502512563e-4
Gangs,2,2010,4.020100502512563e-4
Gardens & gardening,2,2010,4.020100502512563e-4
"Gbagbo, Laurent",2,2010,4.020100502512563e-4
Gender equity,2,2010,4.020100502512563e-4
Generations,2,2010,4.020100502512563e-4
Gentrification,2,2010,4.020100502512563e-4
Global economy,2,2010,4.020100502512563e-4
Global warming,2,2010,4.020100502512563e-4
Government aid,2,2010,4.020100502512563e-4
Government documents,2,2010,4.020100502512563e-4
Government sponsored enterprises,2,2010,4.020100502512563e-4
Government subsidies,2,2010,4.020100502512563e-4
"Graham, Lindsey",2,2010,4.020100502512563e-4
Grants,2,2010,4.020100502512563e-4
Greece,2,2010,4.020100502512563e-4
Greenhouse gases,2,2010,4.020100502512563e-4
Growth rate,2,2010,4.020100502512563e-4
"Hameeduddin, Mohammed",2,2010,4.020100502512563e-4
Hamtramck Michigan,2,2010,4.020100502512563e-4
Hate speech,2,2010,4.020100502512563e-4
Health care,2,2010,4.020100502512563e-4
Health care access,2,2010,4.020100502512563e-4
Health facilities,2,2010,4.020100502512563e-4
Heroin,2,2010,4.020100502512563e-4
Historic preservation,2,2010,4.020100502512563e-4
Holocaust,2,2010,4.020100502512563e-4
Home ownership,2,2010,4.020100502512563e-4
Hotels & motels,2,2010,4.020100502512563e-4
India,2,2010,4.020100502512563e-4
Indigent care,2,2010,4.020100502512563e-4
Industrialized nations,2,2010,4.020100502512563e-4
Infant mortality,2,2010,4.020100502512563e-4
International education,2,2010,4.020100502512563e-4
Ireland,2,2010,4.020100502512563e-4
Islands,2,2010,4.020100502512563e-4
Jewelry stores,2,2010,4.020100502512563e-4
Jewish life & ethics,2,2010,4.020100502512563e-4
Job creation,2,2010,4.020100502512563e-4
Juvenile justice,2,2010,4.020100502512563e-4
Kosher food,2,2010,4.020100502512563e-4
Labor standards,2,2010,4.020100502512563e-4
Latin America,2,2010,4.020100502512563e-4
Law schools,2,2010,4.020100502512563e-4
Lee Hsien Loong,2,2010,4.020100502512563e-4
Legal reform,2,2010,4.020100502512563e-4
Legislation -- Arizona,2,2010,4.020100502512563e-4
Legislators,2,2010,4.020100502512563e-4
Light rail transportation,2,2010,4.020100502512563e-4
Lobbying,2,2010,4.020100502512563e-4
Local elections -- Port Chester New York,2,2010,4.020100502512563e-4
Local government,2,2010,4.020100502512563e-4
London England,2,2010,4.020100502512563e-4
Lotteries,2,2010,4.020100502512563e-4
Louisiana,2,2010,4.020100502512563e-4
"Lucero, Marcelo",2,2010,4.020100502512563e-4
Medicaid,2,2010,4.020100502512563e-4
Medical research,2,2010,4.020100502512563e-4
Medicare,2,2010,4.020100502512563e-4
Members of Parliament,2,2010,4.020100502512563e-4
Memorials & monuments,2,2010,4.020100502512563e-4
Methodist churches,2,2010,4.020100502512563e-4
Middle class,2,2010,4.020100502512563e-4
Migration,2,2010,4.020100502512563e-4
Mining,2,2010,4.020100502512563e-4
Minority & ethnic violence,2,2010,4.020100502512563e-4
Minority owned businesses,2,2010,4.020100502512563e-4
Mortgages,2,2010,4.020100502512563e-4
Motion picture directors & producers,2,2010,4.020100502512563e-4
"Motion pictures -- Prophet, A",2,2010,4.020100502512563e-4
Musical performances,2,2010,4.020100502512563e-4
Musicians & conductors,2,2010,4.020100502512563e-4
Name changes,2,2010,4.020100502512563e-4
"Napolitano, Janet",2,2010,4.020100502512563e-4
Native North Americans,2,2010,4.020100502512563e-4
Nazi era,2,2010,4.020100502512563e-4
New year,2,2010,4.020100502512563e-4
Nonfiction,2,2010,4.020100502512563e-4
Northern California,2,2010,4.020100502512563e-4
Northern states,2,2010,4.020100502512563e-4
Opera,2,2010,4.020100502512563e-4
Overtime pay,2,2010,4.020100502512563e-4
Parades,2,2010,4.020100502512563e-4
Parks & recreation areas,2,2010,4.020100502512563e-4
Parliamentary elections-UK,2,2010,4.020100502512563e-4
Patient Protection & Affordable Care Act 2010-US,2,2010,4.020100502512563e-4
Peacekeeping forces,2,2010,4.020100502512563e-4
"Pearce, Russell",2,2010,4.020100502512563e-4
Pedestrians,2,2010,4.020100502512563e-4
Pedophilia,2,2010,4.020100502512563e-4
Petroleum industry,2,2010,4.020100502512563e-4
Police -- Bell California,2,2010,4.020100502512563e-4
Police brutality,2,2010,4.020100502512563e-4
Political ethics,2,2010,4.020100502512563e-4
Politicians,2,2010,4.020100502512563e-4
Popular culture,2,2010,4.020100502512563e-4
Port Chester New York,2,2010,4.020100502512563e-4
Prices,2,2010,4.020100502512563e-4
Prison overcrowding,2,2010,4.020100502512563e-4
Prisons,2,2010,4.020100502512563e-4
Productivity,2,2010,4.020100502512563e-4
Professional soccer,2,2010,4.020100502512563e-4
Proposals,2,2010,4.020100502512563e-4
Public assistance programs,2,2010,4.020100502512563e-4
Public health,2,2010,4.020100502512563e-4
Public opinion surveys,2,2010,4.020100502512563e-4
Rape,2,2010,4.020100502512563e-4
Rates of return,2,2010,4.020100502512563e-4
Ratings & rankings,2,2010,4.020100502512563e-4
Real estate developments,2,2010,4.020100502512563e-4
Recruitment,2,2010,4.020100502512563e-4
"Reinfeldt, Fredrik",2,2010,4.020100502512563e-4
Relief provisions,2,2010,4.020100502512563e-4
Religious persecution,2,2010,4.020100502512563e-4
Religious right,2,2010,4.020100502512563e-4
Repatriation,2,2010,4.020100502512563e-4
Research & development--R&D,2,2010,4.020100502512563e-4
Resignations,2,2010,4.020100502512563e-4
Response rates,2,2010,4.020100502512563e-4
Retail stores,2,2010,4.020100502512563e-4
Retirement,2,2010,4.020100502512563e-4
Retirement benefits,2,2010,4.020100502512563e-4
Reunification,2,2010,4.020100502512563e-4
Revenue sharing,2,2010,4.020100502512563e-4
Riot control,2,2010,4.020100502512563e-4
Rites & ceremonies,2,2010,4.020100502512563e-4
Roadblocks,2,2010,4.020100502512563e-4
Rural areas,2,2010,4.020100502512563e-4
"Sanchez, Loretta",2,2010,4.020100502512563e-4
Scandals,2,2010,4.020100502512563e-4
School dropouts,2,2010,4.020100502512563e-4
School superintendents,2,2010,4.020100502512563e-4
Schools,2,2010,4.020100502512563e-4
Search warrants,2,2010,4.020100502512563e-4
Secondary schools,2,2010,4.020100502512563e-4
Service industries,2,2010,4.020100502512563e-4
"Shahzad, Faisal",2,2010,4.020100502512563e-4
Shelters,2,2010,4.020100502512563e-4
Shopping centers,2,2010,4.020100502512563e-4
Shortages,2,2010,4.020100502512563e-4
Sikhs,2,2010,4.020100502512563e-4
Slavery,2,2010,4.020100502512563e-4
Slovakia,2,2010,4.020100502512563e-4
Social conditions & trends -- Arizona,2,2010,4.020100502512563e-4
Social life & customs,2,2010,4.020100502512563e-4
South Africa,2,2010,4.020100502512563e-4
South Carolina,2,2010,4.020100502512563e-4
South Korea,2,2010,4.020100502512563e-4
South Pacific,2,2010,4.020100502512563e-4
Spanish language,2,2010,4.020100502512563e-4
Speeches,2,2010,4.020100502512563e-4
Spelling bees,2,2010,4.020100502512563e-4
Startups,2,2010,4.020100502512563e-4
State government,2,2010,4.020100502512563e-4
Supermarkets,2,2010,4.020100502512563e-4
Switzerland,2,2010,4.020100502512563e-4
Synagogues,2,2010,4.020100502512563e-4
"Tale-Yax, Hugo Alfredo",2,2010,4.020100502512563e-4
Tax cuts,2,2010,4.020100502512563e-4
Teaneck New Jersey,2,2010,4.020100502512563e-4
Television networks,2,2010,4.020100502512563e-4
Tibet,2,2010,4.020100502512563e-4
Turkey,2,2010,4.020100502512563e-4
Uganda,2,2010,4.020100502512563e-4
Urban renewal,2,2010,4.020100502512563e-4
Urban schools,2,2010,4.020100502512563e-4
Victims of crime,2,2010,4.020100502512563e-4
Voting,2,2010,4.020100502512563e-4
West Bank,2,2010,4.020100502512563e-4
West Virginia,2,2010,4.020100502512563e-4
"Westergaard, Kurt",2,2010,4.020100502512563e-4
Western Australia Australia,2,2010,4.020100502512563e-4
"Wilders, Geert",2,2010,4.020100502512563e-4
Wineries & vineyards,2,2010,4.020100502512563e-4
Work environment,2,2010,4.020100502512563e-4
Working conditions,2,2010,4.020100502512563e-4
Workplace diversity,2,2010,4.020100502512563e-4
Aachen Germany,1,2010,2.0100502512562814e-4
"Abbott, Tony",1,2010,2.0100502512562814e-4
Abu Dhabi United Arab Emirates,1,2010,2.0100502512562814e-4
Academic achievement gaps,1,2010,2.0100502512562814e-4
Academic libraries,1,2010,2.0100502512562814e-4
Acculturation,1,2010,2.0100502512562814e-4
Acquired immune deficiency syndrome--AIDS,1,2010,2.0100502512562814e-4
Acquisitions & mergers,1,2010,2.0100502512562814e-4
Activism,1,2010,2.0100502512562814e-4
Acupuncture,1,2010,2.0100502512562814e-4
Administrative law,1,2010,2.0100502512562814e-4
Advertising,1,2010,2.0100502512562814e-4
Advertising campaigns,1,2010,2.0100502512562814e-4
Advertising expenditures,1,2010,2.0100502512562814e-4
Aerospace industry,1,2010,2.0100502512562814e-4
Affordable housing,1,2010,2.0100502512562814e-4
Africa,1,2010,2.0100502512562814e-4
Agreements,1,2010,2.0100502512562814e-4
Agribusiness,1,2010,2.0100502512562814e-4
Agricultural production,1,2010,2.0100502512562814e-4
Airline security,1,2010,2.0100502512562814e-4
"al-Abdaly, Taimour Abdulwahab",1,2010,2.0100502512562814e-4
All star games,1,2010,2.0100502512562814e-4
"Alonso, Andres",1,2010,2.0100502512562814e-4
Alternative energy sources,1,2010,2.0100502512562814e-4
Amsterdam Netherlands,1,2010,2.0100502512562814e-4
Andersonville Illinois,1,2010,2.0100502512562814e-4
Andorra,1,2010,2.0100502512562814e-4
"Andres, Jose Ramon",1,2010,2.0100502512562814e-4
Angel investors,1,2010,2.0100502512562814e-4
Angola,1,2010,2.0100502512562814e-4
Animal diseases,1,2010,2.0100502512562814e-4
Animal reproduction,1,2010,2.0100502512562814e-4
Anniversaries,1,2010,2.0100502512562814e-4
Anti-Semitism,1,2010,2.0100502512562814e-4
Antiques,1,2010,2.0100502512562814e-4
Antiretroviral drugs,1,2010,2.0100502512562814e-4
Antwerp Belgium,1,2010,2.0100502512562814e-4
Apartment buildings,1,2010,2.0100502512562814e-4
Apartments,1,2010,2.0100502512562814e-4
Apathy,1,2010,2.0100502512562814e-4
Apologies,1,2010,2.0100502512562814e-4
Applications,1,2010,2.0100502512562814e-4
Appropriations,1,2010,2.0100502512562814e-4
Arab Americans,1,2010,2.0100502512562814e-4
Archaeology,1,2010,2.0100502512562814e-4
Arctic region,1,2010,2.0100502512562814e-4
Ariel West Bank,1,2010,2.0100502512562814e-4
"Arquette, Patricia",1,2010,2.0100502512562814e-4
Arson,1,2010,2.0100502512562814e-4
Art,1,2010,2.0100502512562814e-4
Art history,1,2010,2.0100502512562814e-4
Arts festivals,1,2010,2.0100502512562814e-4
Ashdod Israel,1,2010,2.0100502512562814e-4
Assimilation,1,2010,2.0100502512562814e-4
Asymmetry,1,2010,2.0100502512562814e-4
Athletic drafts & trades,1,2010,2.0100502512562814e-4
Atlanta Georgia,1,2010,2.0100502512562814e-4
Attitudes,1,2010,2.0100502512562814e-4
Attorneys,1,2010,2.0100502512562814e-4
Attorneys general,1,2010,2.0100502512562814e-4
Audio recordings,1,2010,2.0100502512562814e-4
Austria,1,2010,2.0100502512562814e-4
Automation,1,2010,2.0100502512562814e-4
Automobiles,1,2010,2.0100502512562814e-4
Awards & honors,1,2010,2.0100502512562814e-4
"Bachelet, Michelle",1,2010,2.0100502512562814e-4
Background checks,1,2010,2.0100502512562814e-4
Bailouts,1,2010,2.0100502512562814e-4
"Bainimarama, Voreqe",1,2010,2.0100502512562814e-4
Baja California Mexico,1,2010,2.0100502512562814e-4
Bakeries,1,2010,2.0100502512562814e-4
Baltimore Maryland,1,2010,2.0100502512562814e-4
Bangladesh,1,2010,2.0100502512562814e-4
Banking industry,1,2010,2.0100502512562814e-4
Bankruptcy,1,2010,2.0100502512562814e-4
"Barak, Ehud",1,2010,2.0100502512562814e-4
Barcelona Spain,1,2010,2.0100502512562814e-4
Barking Borough-London England,1,2010,2.0100502512562814e-4
"Barnes, Roy",1,2010,2.0100502512562814e-4
"Basu, Anurag",1,2010,2.0100502512562814e-4
Bayou La Batre Alabama,1,2010,2.0100502512562814e-4
"Bazan, Marciano",1,2010,2.0100502512562814e-4
Bears,1,2010,2.0100502512562814e-4
Beauty salons,1,2010,2.0100502512562814e-4
Beekeeping,1,2010,2.0100502512562814e-4
Beer,1,2010,2.0100502512562814e-4
Beijing China,1,2010,2.0100502512562814e-4
Belgium,1,2010,2.0100502512562814e-4
"Beltrani, Robert",1,2010,2.0100502512562814e-4
"Benishek, Dan",1,2010,2.0100502512562814e-4
"Beresford, Bruce",1,2010,2.0100502512562814e-4
Beverly Hills California,1,2010,2.0100502512562814e-4
Bible,1,2010,2.0100502512562814e-4
Bicycling,1,2010,2.0100502512562814e-4
Big Sur California,1,2010,2.0100502512562814e-4
Birds,1,2010,2.0100502512562814e-4
Birth defects,1,2010,2.0100502512562814e-4
Black athletes,1,2010,2.0100502512562814e-4
Black markets,1,2010,2.0100502512562814e-4
Black students,1,2010,2.0100502512562814e-4
"Black, Cathleen",1,2010,2.0100502512562814e-4
"Blackmon, Douglas A",1,2010,2.0100502512562814e-4
Blacks,1,2010,2.0100502512562814e-4
Blood & organ donations,1,2010,2.0100502512562814e-4
"Bloomberg, Michael",1,2010,2.0100502512562814e-4
Blue collar workers,1,2010,2.0100502512562814e-4
Bomb scares,1,2010,2.0100502512562814e-4
Bondy France,1,2010,2.0100502512562814e-4
Books -- Black Los Angeles: American Dreams and Racial Realities,1,2010,2.0100502512562814e-4
"Books -- Flight of the Century, The",1,2010,2.0100502512562814e-4
"Boxer, Barbara",1,2010,2.0100502512562814e-4
Branchville Connecticut,1,2010,2.0100502512562814e-4
Breweries,1,2010,2.0100502512562814e-4
Brewster New York,1,2010,2.0100502512562814e-4
"Brown, Gordon",1,2010,2.0100502512562814e-4
Brownfields,1,2010,2.0100502512562814e-4
Buddhism,1,2010,2.0100502512562814e-4
Budgeting,1,2010,2.0100502512562814e-4
Building failures,1,2010,2.0100502512562814e-4
Buildings,1,2010,2.0100502512562814e-4
Buses,1,2010,2.0100502512562814e-4
"Bush, George W",1,2010,2.0100502512562814e-4
Business closings,1,2010,2.0100502512562814e-4
Business community,1,2010,2.0100502512562814e-4
Business plans,1,2010,2.0100502512562814e-4
"Butz, William P",1,2010,2.0100502512562814e-4
"Byrd, Robert C",1,2010,2.0100502512562814e-4
Cabinet,1,2010,2.0100502512562814e-4
"Cabo, Paul",1,2010,2.0100502512562814e-4
Calabria Italy,1,2010,2.0100502512562814e-4
Cameras,1,2010,2.0100502512562814e-4
"Cantera, Ivan",1,2010,2.0100502512562814e-4
Capital expenditures,1,2010,2.0100502512562814e-4
Capital markets,1,2010,2.0100502512562814e-4
Capital punishment,1,2010,2.0100502512562814e-4
"Capone Almon, April",1,2010,2.0100502512562814e-4
Career advancement,1,2010,2.0100502512562814e-4
Caribbean Americans,1,2010,2.0100502512562814e-4
Carlsbad California,1,2010,2.0100502512562814e-4
Catalonia Spain,1,2010,2.0100502512562814e-4
Catholic schools,1,2010,2.0100502512562814e-4
Cemeteries,1,2010,2.0100502512562814e-4
Central Falls Rhode Island,1,2010,2.0100502512562814e-4
Century in review,1,2010,2.0100502512562814e-4
Cesarean section,1,2010,2.0100502512562814e-4
"Chai, Richard",1,2010,2.0100502512562814e-4
Charities,1,2010,2.0100502512562814e-4
Charlotte North Carolina,1,2010,2.0100502512562814e-4
Chefs,1,2010,2.0100502512562814e-4
Chen Yi,1,2010,2.0100502512562814e-4
Chicago Illinois,1,2010,2.0100502512562814e-4
Chief executive officers,1,2010,2.0100502512562814e-4
Child care,1,2010,2.0100502512562814e-4
Childrens television,1,2010,2.0100502512562814e-4
Chinatown-Los Angeles CA,1,2010,2.0100502512562814e-4
"Choephel, Ngawang",1,2010,2.0100502512562814e-4
Cholera,1,2010,2.0100502512562814e-4
Christian Islamic relations,1,2010,2.0100502512562814e-4
Christian Jewish relations,1,2010,2.0100502512562814e-4
Church & state,1,2010,2.0100502512562814e-4
Citizens,1,2010,2.0100502512562814e-4
Civil liberties,1,2010,2.0100502512562814e-4
Civil Rights Act 1964-US,1,2010,2.0100502512562814e-4
"Clarke, Gilmore D",1,2010,2.0100502512562814e-4
Class action lawsuits,1,2010,2.0100502512562814e-4
Class size,1,2010,2.0100502512562814e-4
"Clegg, Nick",1,2010,2.0100502512562814e-4
Coaches & managers,1,2010,2.0100502512562814e-4
Coal industry,1,2010,2.0100502512562814e-4
Coal-fired power plants,1,2010,2.0100502512562814e-4
Coastal plains,1,2010,2.0100502512562814e-4
Collective bargaining,1,2010,2.0100502512562814e-4
College admissions,1,2010,2.0100502512562814e-4
College basketball,1,2010,2.0100502512562814e-4
College football,1,2010,2.0100502512562814e-4
College graduates,1,2010,2.0100502512562814e-4
College presidents,1,2010,2.0100502512562814e-4
"Coloti, Jessica",1,2010,2.0100502512562814e-4
Commercial real estate,1,2010,2.0100502512562814e-4
Communism,1,2010,2.0100502512562814e-4
Community action,1,2010,2.0100502512562814e-4
Community policing,1,2010,2.0100502512562814e-4
Community service,1,2010,2.0100502512562814e-4
Community support,1,2010,2.0100502512562814e-4
Complaints,1,2010,2.0100502512562814e-4
Compliance,1,2010,2.0100502512562814e-4
Comptrollers,1,2010,2.0100502512562814e-4
Confiscation,1,2010,2.0100502512562814e-4
Congressional committees,1,2010,2.0100502512562814e-4
Congressional elections -- Arizona,1,2010,2.0100502512562814e-4
Congressional elections -- Michigan,1,2010,2.0100502512562814e-4
Congressional elections -- New York,1,2010,2.0100502512562814e-4
Congressional elections -- Western states,1,2010,2.0100502512562814e-4
Connecticut,1,2010,2.0100502512562814e-4
"Conroy, Jeffrey",1,2010,2.0100502512562814e-4
Consignment stores,1,2010,2.0100502512562814e-4
Conspiracy,1,2010,2.0100502512562814e-4
Constitutional amendments,1,2010,2.0100502512562814e-4
Construction equipment,1,2010,2.0100502512562814e-4
Consumer Price Index,1,2010,2.0100502512562814e-4
Continuing education,1,2010,2.0100502512562814e-4
Convenience stores,1,2010,2.0100502512562814e-4
Convictions,1,2010,2.0100502512562814e-4
Core curriculum,1,2010,2.0100502512562814e-4
Corporate reorganization,1,2010,2.0100502512562814e-4
"Corro, Laura",1,2010,2.0100502512562814e-4
Corruption,1,2010,2.0100502512562814e-4
Corruption in government,1,2010,2.0100502512562814e-4
Corruption in government -- Vernon California,1,2010,2.0100502512562814e-4
Cost control,1,2010,2.0100502512562814e-4
Cost estimates,1,2010,2.0100502512562814e-4
Cost of living,1,2010,2.0100502512562814e-4
Cost recovery,1,2010,2.0100502512562814e-4
Costa Mesa California,1,2010,2.0100502512562814e-4
Costs,1,2010,2.0100502512562814e-4
Coups d etat,1,2010,2.0100502512562814e-4
Cowboys,1,2010,2.0100502512562814e-4
Crete Nebraska,1,2010,2.0100502512562814e-4
Crime prevention,1,2010,2.0100502512562814e-4
Criminals,1,2010,2.0100502512562814e-4
Criticism,1,2010,2.0100502512562814e-4
Crops,1,2010,2.0100502512562814e-4
Crowd control,1,2010,2.0100502512562814e-4
Cultural centers,1,2010,2.0100502512562814e-4
Cultural change,1,2010,2.0100502512562814e-4
Cultural relations,1,2010,2.0100502512562814e-4
Cultural values,1,2010,2.0100502512562814e-4
Current accounts,1,2010,2.0100502512562814e-4
Curricula,1,2010,2.0100502512562814e-4
Dagenham England,1,2010,2.0100502512562814e-4
Dairy farms,1,2010,2.0100502512562814e-4
"Daley, Richard M",1,2010,2.0100502512562814e-4
Data base management systems,1,2010,2.0100502512562814e-4
Data bases,1,2010,2.0100502512562814e-4
Day care centers,1,2010,2.0100502512562814e-4
"De la Rocha, Zack",1,2010,2.0100502512562814e-4
"De Wever, Bart",1,2010,2.0100502512562814e-4
"Deal, Nathan",1,2010,2.0100502512562814e-4
Death & dying,1,2010,2.0100502512562814e-4
Death threats,1,2010,2.0100502512562814e-4
Debt restructuring,1,2010,2.0100502512562814e-4
Deepwater drilling,1,2010,2.0100502512562814e-4
Defense industry,1,2010,2.0100502512562814e-4
Demonstrations & protests -- Bell California,1,2010,2.0100502512562814e-4
Demonstrations & protests -- East Los Angeles California,1,2010,2.0100502512562814e-4
Derivatives,1,2010,2.0100502512562814e-4
Desalination,1,2010,2.0100502512562814e-4
Design,1,2010,2.0100502512562814e-4
Detention centers,1,2010,2.0100502512562814e-4
Detroit Michigan,1,2010,2.0100502512562814e-4
Developmental disabilities,1,2010,2.0100502512562814e-4
Diamonds,1,2010,2.0100502512562814e-4
Diaspora,1,2010,2.0100502512562814e-4
Digital divide,1,2010,2.0100502512562814e-4
"DiNapoli, Thomas P",1,2010,2.0100502512562814e-4
"Dinkins, David",1,2010,2.0100502512562814e-4
Disabled workers,1,2010,2.0100502512562814e-4
Disasters,1,2010,2.0100502512562814e-4
Disease control,1,2010,2.0100502512562814e-4
Disease transmission,1,2010,2.0100502512562814e-4
Displaced persons,1,2010,2.0100502512562814e-4
Displaced workers,1,2010,2.0100502512562814e-4
Disputes,1,2010,2.0100502512562814e-4
Divorce,1,2010,2.0100502512562814e-4
DNA fingerprints,1,2010,2.0100502512562814e-4
Documentary films,1,2010,2.0100502512562814e-4
"Dolan, Timothy",1,2010,2.0100502512562814e-4
Domestic service,1,2010,2.0100502512562814e-4
Domestic violence,1,2010,2.0100502512562814e-4
Downsizing,1,2010,2.0100502512562814e-4
Drivers licenses,1,2010,2.0100502512562814e-4
"Dromm, Daniel",1,2010,2.0100502512562814e-4
Drought,1,2010,2.0100502512562814e-4
Drug abuse,1,2010,2.0100502512562814e-4
Drug use,1,2010,2.0100502512562814e-4
Drunk driving,1,2010,2.0100502512562814e-4
Due process of law,1,2010,2.0100502512562814e-4
DuPage County Illinois,1,2010,2.0100502512562814e-4
Dutchess County New York,1,2010,2.0100502512562814e-4
Duty free,1,2010,2.0100502512562814e-4
DVD,1,2010,2.0100502512562814e-4
East Africa,1,2010,2.0100502512562814e-4
East Los Angeles California,1,2010,2.0100502512562814e-4
East New York-Brooklyn NY,1,2010,2.0100502512562814e-4
Eastern Orthodox churches,1,2010,2.0100502512562814e-4
Economic conditions -- Andorra,1,2010,2.0100502512562814e-4
Economic conditions -- California,1,2010,2.0100502512562814e-4
Economic conditions -- Canada,1,2010,2.0100502512562814e-4
Economic conditions -- Fiji,1,2010,2.0100502512562814e-4
Economic conditions -- Ireland,1,2010,2.0100502512562814e-4
Economic conditions -- South Africa,1,2010,2.0100502512562814e-4
Economic forecasts,1,2010,2.0100502512562814e-4
Economic reform,1,2010,2.0100502512562814e-4
Economic summit conferences,1,2010,2.0100502512562814e-4
Economic trends,1,2010,2.0100502512562814e-4
Ecuador,1,2010,2.0100502512562814e-4
Ecumenism,1,2010,2.0100502512562814e-4
Editorials -- Agribusiness,1,2010,2.0100502512562814e-4
Editorials -- Citizenship,1,2010,2.0100502512562814e-4
Editorials -- Endorsements,1,2010,2.0100502512562814e-4
Editorials -- Ethnic studies,1,2010,2.0100502512562814e-4
Editorials -- Food programs,1,2010,2.0100502512562814e-4
Editorials -- Haiti,1,2010,2.0100502512562814e-4
Editorials -- Health care policy,1,2010,2.0100502512562814e-4
Editorials -- Herbicides,1,2010,2.0100502512562814e-4
Editorials -- Hispanic Americans,1,2010,2.0100502512562814e-4
Editorials -- Human trafficking,1,2010,2.0100502512562814e-4
Editorials -- Italy,1,2010,2.0100502512562814e-4
Editorials -- Japan,1,2010,2.0100502512562814e-4
Editorials -- New year,1,2010,2.0100502512562814e-4
Editorials -- Sweden,1,2010,2.0100502512562814e-4
Editorials -- Tuition,1,2010,2.0100502512562814e-4
Education policy,1,2010,2.0100502512562814e-4
Educational services,1,2010,2.0100502512562814e-4
Eggs,1,2010,2.0100502512562814e-4
Election districts,1,2010,2.0100502512562814e-4
Elections -- Austria,1,2010,2.0100502512562814e-4
Elections -- Belgium,1,2010,2.0100502512562814e-4
Elections -- Colorado,1,2010,2.0100502512562814e-4
Elections -- France,1,2010,2.0100502512562814e-4
Elections -- Ivory Coast,1,2010,2.0100502512562814e-4
Elections -- Netherlands,1,2010,2.0100502512562814e-4
Elections -- Sweden,1,2010,2.0100502512562814e-4
Electric utilities,1,2010,2.0100502512562814e-4
Electronic health records,1,2010,2.0100502512562814e-4
Elementary schools,1,2010,2.0100502512562814e-4
"Emanuel, Rahm",1,2010,2.0100502512562814e-4
Embryos,1,2010,2.0100502512562814e-4
Emergency preparedness,1,2010,2.0100502512562814e-4
